time,x,y,phi,xvar,yvar,phivar,xycovar,xphicovar,yphicovar
1745816871.328882,-1040.9889412410557,-22148.145327396312,0.5155922570321358,12401631009.38495,24732775.05873099,33.06000000000026,-550095846.7043929,610986.382609991,-26441.406449220667
1745816871.4235828,-1044.5203538425267,-22291.88853723518,-0.005492162627565023,12577964386.412338,24919943.37772801,33.110000000000255,-556071046.1551548,615738.533127264,-26558.154949825297
1745816871.5292761,-1048.0494487769902,-22437.233980960766,0.3273968063846091,12757653425.712156,25107813.24679334,33.16000000000025,-562121136.0819327,620550.9207690182,-26675.003283105383
1745816871.6235907,-1051.5742331035435,-22582.979952640453,0.8737562343811582,12939243400.625298,25296277.497066274,33.21000000000025,-568213253.5728903,625383.8571899167,-26791.885131373892
1745816871.7248504,-1055.0963025577366,-22728.926180667797,1.5268661506589574,13122495613.739414,25485420.226710502,33.26000000000025,-574343144.5577939,630230.7314227048,-26908.853057947646
1745816871.823773,-1058.6152840144932,-22875.072665042797,2.2867265552180065,13307418018.792654,25675220.602823712,33.310000000000244,-580510654.2660508,635091.5634930173,-27025.89438119937
1745816871.9247608,-1062.1101251132786,-23022.4217098426,-2.8102067458400306,13495301507.417698,25864534.861138936,33.36000000000024,-586729591.4530544,639999.7601752989,-27142.30753819991
1745816872.0244646,-1065.5702462680638,-23171.17564661018,-1.519004788546642,13686444656.376822,26052770.606689375,33.41000000000024,-592998763.875184,644962.1915058653,-27257.737179923544
1745816872.131437,-1069.0092816837132,-23320.93637353889,-0.7645154777375929,13880373998.38851,26240651.392600775,33.460000000000235,-599316157.4619715,649965.6973925536,-27372.635353160393
1745816872.2236044,-1072.4366631992161,-23471.704043216625,-0.5467693309910437,14077122201.15795,26428682.37422883,33.51000000000023,-605688036.3883874,655010.3836199706,-27487.31553866912
1745816872.331318,-1075.8615801818669,-23623.075915164867,-0.6510446686194946,14276190326.53174,26617363.996008456,33.56000000000023,-612109571.7765216,660082.8550489562,-27602.08450675775
1745816872.4234283,-1079.2864971645176,-23774.44778711311,-0.7553200062479455,14476795256.568932,26806832.352666672,33.61000000000023,-618565878.6735426,665162.8950715393,-27717.02472069551
1745816872.5296779,-1082.7114141471684,-23925.81965906135,-0.8595953438763964,14678939282.613886,26997088.617209118,33.660000000000224,-625057008.9230603,670250.5036877198,-27832.1361804824
1745816872.6237333,-1086.1363311298192,-24077.191531009594,-0.9638706815048472,14882624696.010963,27188133.96264142,33.71000000000022,-631583014.368684,675345.6808974977,-27947.418886118427
1745816872.7284036,-1089.555313397199,-24229.56477624885,-0.5343935777270481,15089216587.668,27379636.47283656,33.76000000000022,-638168009.7973489,680482.1829945131,-28062.6727783518
1745816872.8242536,-1092.9662573821843,-24382.538805789867,0.21530447331637603,15298198810.418459,27571474.66470063,33.810000000000215,-644799572.0310774,685646.5862318178,-28177.826247284906
1745816872.9239924,-1096.3699770458043,-24535.913332767406,1.1784729833441752,15509315589.978817,27763690.20650075,33.86000000000021,-651472731.874896,690832.1789889284,-28292.9060091119
1745816873.0236106,-1099.7418473251164,-24690.691698856273,2.4607027726688493,15723978503.600597,27954880.195856594,33.91000000000021,-658198929.4137222,696072.9744646975,-28407.077536769408
1745816873.132167,-1103.0844486244023,-24846.87845117561,-3.077545225654813,15942240468.935658,28145171.14029189,33.96000000000021,-664980136.4210154,701369.2672358463,-28520.425146828195
1745816873.2243898,-1106.41556410864,-25004.07214624397,-2.869351080861424,16163581269.20388,28335562.63131851,34.010000000000204,-671817491.9477662,706707.5651203678,-28633.549828672905
